female	male
4	NA
4	NA
1	NA
9	NA
10	NA
8	NA
10	NA
NA	NA
1	NA
5	NA
NA	NA
1	NA
NA	NA
NA	NA
1	NA
2	NA
3	NA
8	NA
2	NA
1	NA
1	NA
1	NA
1	NA
1	NA
7	NA
1	NA
9	NA
6	NA
8	NA
5	NA
5	NA
5	NA
1	NA
4	NA
1	NA
NA	NA
6	NA
5	NA
1	NA
NA	NA
6	NA
9	NA
6	NA
5	NA
1	NA
1	NA
5	NA
5	NA
2	NA
3	NA
5	NA
3	NA
10	NA
1	NA
7	NA
6	NA
8	NA
3	NA
3	NA
1	NA
NA	NA
5	NA
7	NA
1	NA
1	NA
5	NA
4	NA
5	NA
5	NA
5	NA
5	NA
5	NA
10	NA
9	NA
NA	NA
2	NA
1	NA
1	NA
1	NA
3	NA
1	NA
4	NA
5	NA
8	NA
4	NA
10	NA
1	NA
6	NA
5	NA
6	NA
NA	NA
1	NA
5	NA
3	NA
3	NA
5	NA
3	NA
2	NA
4	NA
1	NA
1	NA
1	NA
1	NA
1	NA
1	NA
1	NA
1	NA
NA	NA
1	NA
7	NA
6	NA
8	NA
1	NA
NA	NA
7	NA
8	NA
1	NA
1	NA
6	NA
6	NA
6	NA
8	NA
6	NA
1	NA
4	NA
3	NA
4	NA
6	NA
8	NA
1	NA
1	NA
1	NA
6	NA
1	NA
3	NA
1	NA
1	NA
1	NA
3	NA
1	NA
10	NA
5	NA
5	NA
10	NA
3	NA
6	NA
1	NA
5	NA
7	NA
5	NA
1	NA
6	NA
5	NA
1	NA
1	NA
3	NA
5	NA
10	NA
5	NA
5	NA
8	NA
8	NA
4	NA
6	NA
5	NA
5	NA
NA	NA
NA	NA
NA	NA
1	NA
1	NA
1	NA
NA	NA
NA	NA
NA	NA
1	NA
4	NA
1	NA
1	NA
NA	NA
3	NA
10	NA
NA	NA
1	NA
NA	NA
8	NA
8	NA
1	NA
6	NA
7	NA
1	NA
6	NA
5	NA
5	NA
NA	NA
1	NA
1	NA
1	NA
1	NA
1	NA
